id;luas_m2;harga_juta;kota;kamar;tahun_bangun;kondisi
1;297;1084;Jogja;2;2000;baik
2;254;761;Medan;4;1995;bagus
3;249.7;895;Depok;4;1983;baik
4;49.7;178;Ygy;5;2013;baik
5;133.4;424;Medan;5;2004;sedang
6;153.3;814;Jakarta;1;2006;sedang
7;114.3;655;Jakarta;3;2011;baik
8;193.8;333;Yogyakarta;4;1989;baik sekali
9;81.2;307;Yogyakarta;1;1996;sedang
10;69.1;237;Bandung;5;1980;baik
11;159.6;630;Surabaya;6;2023;sedang
12;81.2;345;Dpk;5;2008;baik
13;84.2;382;Sby;2;2006;sedang
14;193.8;802;Jakarta;3;2004;baik
15;193.8;503;Makassar;6;2016;sedang
16;200.5;495;Mdn;6;1994;baik
17;303.3;1043;Bandung;4;1993;sedang
18;51.5;183;Yogyakarta;6;2020;sedang
19;193.8;655;Bandung;1;2015;rusak
20;297.7;655;Surabaya;1;2009;baik
21;195;511;Medan;4;2014;sedang
22;193.8;655;Semarang;2;1984;baik
23;300.9;655;Semarang;5;2000;baik
24;53.4;156;Medan;4;2002;sedang
25;97.7;349;Yogyakarta;5;1995;sedang
26;193.8;916;Semarang;4;2013;baik sekali
27;113.8;-422.75;Bandung;6;1993;baik sekali
28;248.8;955;Yogyakarta;6;1993;baik
29;226.3;664;Medan;3;2016;baik
30;110.3;455;Yogyakarta;6;1986;baik
31;189.4;819;Jogja;6;2012;sedang
32;67.9;195;Makassar;2;1980;rusak
33;77.4;237;Medan;5;2007;cukup
34;288.6;1598;Jakarta;4;2016;rusak
35;294.9;934;Medan;4;2017;baik
36;278.4;863;Medan;1;2021;sedang
37;193.8;631;Smg;4;1996;sedang
38;40.4;170;Ygy;6;2005;baik
39;69.1;237;Bandung;5;1980;baik
40;244.1;665;Makassar;3;2004;baik sekali
41;125.4;735;Jakarta;4;1990;baik
42;193.2;641;Bandung;1;2004;sedang
43;223.2;0;Medan;6;1993;sedang
44;343.6;1687;Jakarta;3;2011;baik
45;280.1;1008;Semarang;6;2005;sedang
46;260.6;974;Depok;5;2003;baik
47;135.8;522;Bdg;1;1999;baik
48;153.3;422;Makassar;1;2008;sedang
49;292.4;1323;Surabaya;4;2019;rusak
50;93;655;Bandung;3;2010;rusak
51;125.9;751;Jakarta;5;1985;cukup
52;52.3;208;Yogyakarta;2;1989;sedang
53;193.8;916;Jogja;1;2005;sedang
54;325.2;783;Makassar;2;2011;baik
55;194.4;456;Makassar;4;2013;sedang
56;70.3;181;Makassar;4;1985;sedang
57;202.7;746;Depok;6;2017;baik
58;193.8;1071;Jogja;4;1997;baik
59;193.8;655;Surabaya;2;2018;baik
60;297.7;1250;Surabaya;1;2009;baik
61;270.5;880;Bandung;5;2020;baik
62;193.8;495;Medan;6;1994;baik sekali
63;169.7;532;Medan;1;1994;sedang
64;133.4;506;Bandung;3;1998;rusak
65;80.1;315;Yogyakarta;1;1991;baik
66;111.7;457;Depok;5;1998;baik sekali
67;193.8;655;Medan;4;2022;sedang
68;41.6;655;Makassar;1;1981;baik
69;118.4;655;Jakarta;4;1981;baik
70;329;912;Medan;5;2002;baik
71;194.4;456;Makassar;1;2013;sedang
72;202.7;746;Dpk;6;2017;baik
73;193.8;894;Bandung;6;2002;perlu renovasi
74;296.4;1406;Depok;1;1982;cukup
